ep,return,steps,corr_frac,pol_loss,val_loss,entropy,smooth_return
1128,-58.5,300,0.20333333333333334,-0.5598531365394592,189.45802307128906,3.2999908924102783,-82.15583645494745
1129,-145.5,300,0.01,-0.22909775376319885,618.9175415039062,4.392529487609863,-85.32304463220008
1130,-65.5,293,0.18430034129692832,-0.15424270927906036,108.20172119140625,2.742859363555908,-84.33189240059008
1131,-120.0,300,0.06666666666666667,-0.1420675367116928,507.4825134277344,4.418175220489502,-86.11529778056057
1132,-60.0,300,0.2,-0.5112940669059753,198.9132843017578,3.4152681827545166,-84.80953289153254
1133,-117.0,300,0.07333333333333333,0.0031063335482031107,568.4482421875,4.586104393005371,-86.4190562469559
1134,39.0,300,0.42,-0.7707952260971069,59.181549072265625,2.385556697845459,-80.1481034346081
1135,51.0,81,0.7530864197530864,0.228901669383049,259.6644287109375,0.9703983068466187,-73.5906982628777
1136,3.0,42,0.38095238095238093,-0.20694857835769653,8.603404998779297,2.1442906856536865,-69.7611633497338
1137,-93.0,300,0.12666666666666668,-0.03767089918255806,258.46136474609375,2.6236798763275146,-70.92310518224711
1138,-132.0,300,0.04,0.5184952020645142,502.2900085449219,4.2835373878479,-73.97694992313475
1139,-48.0,300,0.22666666666666666,-0.2632473111152649,124.69258117675781,2.7688956260681152,-72.67810242697801
1140,-106.5,300,0.09666666666666666,-0.12070765346288681,321.1290588378906,2.9380335807800293,-74.36919730562911
1141,-63.0,300,0.19333333333333333,-0.3926377594470978,217.46327209472656,2.7866177558898926,-73.80073744034766
1142,-142.5,300,0.016666666666666666,0.3008747398853302,599.8628540039062,4.199647903442383,-77.23570056833027
1143,-130.5,300,0.043333333333333335,0.2950759828090668,535.9049072265625,4.3193464279174805,-79.89891553991376
1144,-10.5,300,0.31,-0.33473607897758484,32.99637985229492,2.106306791305542,-76.42896976291807
1145,-72.5,202,0.09405940594059406,0.18551108241081238,306.549072265625,3.802272319793701,-76.23252127477217
1146,-94.5,300,0.12333333333333334,-0.37050074338912964,353.3681945800781,2.9170830249786377,-77.14589521103355
